instance,execution_time_sec,total_cost,capacity_ok
E016-03m.dat,0.0178,371.208,False
E016-05m.dat,0.0191,372.592,False
E021-04m.dat,0.0336,465.019,False
E021-06m.dat,0.0551,529.358,False
E022-04g.dat,0.0279,573.234,False
E022-06m.dat,0.0224,601.761,True
E023-03g.dat,0.0248,873.935,True
E023-05S.dat,0.0316,873.935,True
E026-08m.dat,0.0385,813.401,False
E030-03g.dat,0.0407,624.588,True
E030-04S.dat,0.0434,624.588,True
E031-09h.dat,0.0557,723.97,True
E033-03N.dat,0.0206,3682.54,True
E033-04g.dat,0.0261,956.759,True
E033-05s.dat,0.0248,956.759,True
E036-11h.dat,0.098,811.751,False
E041-14h.dat,0.1231,996.536,True
E045-04f.dat,0.0288,1048.94,True
E048-04y.dat,0.3237,59249.4,True
E051-05e.dat,0.0903,751.485,True
E072-04f.dat,0.1346,358.234,True
E076-07s.dat,0.2619,1184.65,True
E076-07u.dat,0.2531,1184.65,True
E076-08s.dat,1.325,1157.93,True
E076-08u.dat,1.3547,1157.93,True
E076-10e.dat,0.5358,1336.41,True
E076-14s.dat,0.8917,1398.73,True
E076-14u.dat,0.9706,1398.73,True
E076-15s.dat,0.8853,1398.73,True
E076A10r.dat,0.1579,3148.2,False
E076B09r.dat,0.0839,2231.26,True
E076C09r.dat,0.2512,1819.64,True
E076D09r.dat,0.1824,2383.23,True
E101-08e.dat,0.676,1440.44,True
E101-10c.dat,2.4813,1460.68,True
E101-14s.dat,1.6858,1787.22,True
E101-14u.dat,1.61,1787.22,True
E101A11r.dat,0.3371,2956.71,True
E101B11r.dat,0.8575,3405.96,True
E101C11r.dat,-0.4881,2206.79,True
E101D11r.dat,0.9182,2371.35,True
E121-07c.dat,1.0039,1419.54,True
E135-07f.dat,0.6704,1691.29,True
E151-12b.dat,9.3024,2045.05,True
E151-12c.dat,1.4643,2123.55,True
E151A15r.dat,3.9854,4650.21,True
E151B14r.dat,1.1889,5156.09,True
E151C14r.dat,4.2777,4403.23,True
E151D14r.dat,1.1017,4426.32,True
E200-16b.dat,30.5292,2538.97,False
E200-16c.dat,27.9804,2354.02,False
E200-17b.dat,31.7659,2538.97,True
E200-17c.dat,31.2402,2354.02,True
