instance,execution_time_sec,total_cost,capacity_ok
E016-03m.dat,0.0347,402.204,False
E016-05m.dat,0.0179,460.085,False
E021-04m.dat,0.0238,570.832,False
E021-06m.dat,0.0213,563.023,False
E022-04g.dat,0.0204,573.234,False
E022-06m.dat,0.0189,627.701,True
E023-03g.dat,0.034,660.737,True
E023-05S.dat,0.0415,660.737,True
E026-08m.dat,0.0229,870.518,False
E030-03g.dat,0.0445,609.308,True
E030-04S.dat,0.0434,609.308,True
E031-09h.dat,0.0326,830.855,True
E033-03N.dat,0.0518,3102.39,True
E033-04g.dat,0.0434,913.377,True
E033-05s.dat,0.0449,913.377,True
E036-11h.dat,0.1194,1129.69,False
E041-14h.dat,0.0458,1246.89,True
E045-04f.dat,0.1324,930.103,True
E048-04y.dat,0.125,49482.5,True
E051-05e.dat,0.0424,803.759,True
E072-04f.dat,0.3184,341.882,True
E076-07s.dat,0.7547,971.927,True
E076-07u.dat,0.7253,971.927,True
E076-08s.dat,0.3218,1154.91,True
E076-08u.dat,0.2992,1154.91,True
E076-10e.dat,0.112,1390.43,True
E076-14s.dat,0.1011,1760.2,True
E076-14u.dat,0.0849,1760.2,True
E076-15s.dat,0.0858,1760.2,True
E076A10r.dat,0.1964,3190.46,False
E076B09r.dat,1.2105,1688.05,True
E076C09r.dat,0.0264,1484.63,True
E076D09r.dat,1.242,1966.23,True
E101-08e.dat,2.2492,1121.92,True
E101-10c.dat,3.254,1116.93,True
E101-14s.dat,2.3574,1348.13,True
E101-14u.dat,2.3038,1348.13,True
E101A11r.dat,1.4828,2713.77,True
E101B11r.dat,1.6849,3119.04,True
E101C11r.dat,5.2928,1851.06,True
E101D11r.dat,2.1028,2159.78,True
E121-07c.dat,0.5652,1351.16,True
E135-07f.dat,8.0462,1308.74,True
E151-12b.dat,8.3623,1644.43,True
E151-12c.dat,8.8039,1601.5,True
E151A15r.dat,26.2205,4004.8,True
E151B14r.dat,10.0114,4519.44,True
E151C14r.dat,20.3472,3614.4,True
E151D14r.dat,19.7675,3806.81,True
E200-16b.dat,0.8821,2873.06,False
E200-16c.dat,0.8309,2874.53,False
E200-17b.dat,56.9889,2139.82,True
E200-17c.dat,23.9552,1974.28,True
