instance,execution_time_sec,total_cost,capacity_ok
E016-03m.dat,0.0275,282.946,False
E016-05m.dat,0.0166,332.301,False
E021-04m.dat,0.0196,391.766,False
E021-06m.dat,0.0219,444.42,False
E022-04g.dat,0.027,385.497,True
E022-06m.dat,0.0274,508.219,False
E023-03g.dat,0.0281,576.42,True
E023-05S.dat,0.0273,576.42,True
E026-08m.dat,0.0421,621.955,False
E030-03g.dat,0.0681,534.448,False
E030-04S.dat,0.0439,534.448,True
E031-09h.dat,0.0399,623.933,False
E033-03N.dat,0.023,2138.22,True
E033-04g.dat,0.0258,843.098,True
E033-05s.dat,0.0227,843.098,True
E036-11h.dat,0.0388,731.465,False
E041-14h.dat,0.0427,899.495,False
E045-04f.dat,0.0464,730.249,False
E048-04y.dat,0.0718,42818.5,True
E051-05e.dat,0.029,584.637,False
E072-04f.dat,0.0824,258.226,False
E076-07s.dat,0.3888,746.319,True
E076-07u.dat,0.3965,746.319,True
E076-08s.dat,0.1673,785.056,True
E076-08u.dat,0.1719,785.056,True
E076-10e.dat,0.1149,908.532,False
E076-14s.dat,0.0952,1054.51,False
E076-14u.dat,0.1054,1054.51,False
E076-15s.dat,0.0988,1054.51,True
E076A10r.dat,0.0861,1651.46,True
E076B09r.dat,0.077,1377.57,False
E076C09r.dat,0.0591,1389.35,True
E076D09r.dat,0.1382,1428.77,False
E101-08e.dat,0.2299,877.799,True
E101-10c.dat,0.5912,835.719,True
E101-14s.dat,0.1058,1143.45,True
E101-14u.dat,0.1076,1143.45,True
E101A11r.dat,0.2625,2153.64,False
E101B11r.dat,0.1953,2042.72,False
E101C11r.dat,0.1245,1466.83,True
E101D11r.dat,0.0977,1688.77,False
E121-07c.dat,0.3653,1077.27,True
E135-07f.dat,0.4692,1230.48,True
E151-12b.dat,1.203,1102.47,True
E151-12c.dat,0.8196,1092.14,True
E151A15r.dat,0.8342,3377.23,False
E151B14r.dat,1.1964,2903.45,True
E151C14r.dat,0.859,2439.3,False
E151D14r.dat,0.3679,2812.74,False
E200-16b.dat,0.8456,1422.01,False
E200-16c.dat,0.855,1421.59,False
E200-17b.dat,0.9619,1422.01,True
E200-17c.dat,0.8582,1421.59,True
